Bundle report (raw filesystem bytes; sorted by size descending, then filename)
Assets directory: dist/assets

Entrypoints
- modern: index-Cc-K3rHU.js = 323.11 KiB
- legacy: index-legacy-CumbyAwY.js = 458.57 KiB

JavaScript chunks
target	size	file
modern	1.15 KiB	ordinal-BRQ5CzZY.js
legacy	1.13 KiB	chunk-747NJXEK-legacy--Zyl7YrX.js
legacy	1.12 KiB	chunk-OUJLGHUK-legacy-Z7TVzZPR.js
modern	1.10 KiB	chunk-2ZTRR5NV-LPCfzgeU.js
legacy	1.07 KiB	stateDiagram-v2-4QOOHH4V-legacy-Da92zmTt.js
legacy	1.07 KiB	classDiagram-DTDB5LWJ-legacy-CQEU1IFv.js
legacy	1.07 KiB	classDiagram-v2-JRS7N3AN-legacy-CNTbbkp7.js
modern	1.03 KiB	chunk-747NJXEK-0JPu2zZ4.js
legacy	1.03 KiB	line-legacy-C9idxNUj.js
modern	1.02 KiB	chunk-OUJLGHUK-zLIvxsFy.js
legacy	1.01 KiB	chunk-IH6LHLGP-legacy-L1Wc7fG3.js
legacy	0.96 KiB	chunk-6AZGARVD-legacy-Dm6lPTTw.js
modern	0.92 KiB	line-Bcienf2c.js
modern	0.90 KiB	micromark-factory-space-BLNeeLMY.js
legacy	0.90 KiB	flowDiagram-A5DVABFB-legacy-BldTMsdI.js
legacy	0.90 KiB	chunk-XHIXRSVI-legacy-DQthL8JG.js
modern	0.90 KiB	chunk-IH6LHLGP-ChSj1MtR.js
modern	0.88 KiB	sizeCapture-X5ZJPWSS-ByvCd6zp.js
modern	0.88 KiB	chunk-6AZGARVD-Btxo7DVS.js
modern	0.85 KiB	swimlanesDiagram-VK2B7HYN-qg_6Ih7s.js
modern	0.81 KiB	chunk-XHIXRSVI-D_TQuJnz.js
modern	0.77 KiB	stateDiagram-v2-4QOOHH4V-B4amDmwN.js
modern	0.77 KiB	classDiagram-DTDB5LWJ-CqBhqRvI.js
modern	0.77 KiB	classDiagram-v2-JRS7N3AN-BepzLoug.js
legacy	0.75 KiB	infoDiagram-RXCK75RN-legacy-CUxXd6Yh.js
legacy	0.75 KiB	rolldown-runtime-legacy-ndya8PFD.js
legacy	0.73 KiB	defineProperty-legacy-CeCQAkkQ.js
legacy	0.70 KiB	chunk-POPQ4Y6H-legacy-C0QkTE-D.js
modern	0.69 KiB	defineProperty-CmQ2Tc-5.js
modern	0.68 KiB	rolldown-runtime-S-ySWqyJ.js
legacy	0.67 KiB	chunk-3Z5EZCMW-legacy-Di4nfIS_.js
modern	0.64 KiB	infoDiagram-RXCK75RN-Bw9hFmtT.js
modern	0.60 KiB	flowDiagram-A5DVABFB-BhL7JTwu.js
modern	0.58 KiB	chunk-3Z5EZCMW-DPXfR90k.js
modern	0.56 KiB	chunk-POPQ4Y6H-DmoTrd2n.js
legacy	0.55 KiB	chunk-ICYGCRZG-legacy-ApuA3Dkn.js
legacy	0.54 KiB	chunk-6TQVIW2G-legacy-lnuJ6nnp.js
legacy	0.54 KiB	chunk-KI3K4JFJ-legacy-B6oHw0uT.js
legacy	0.53 KiB	chunk-5V3GS4D5-legacy-Clql3b-z.js
legacy	0.53 KiB	chunk-I5DQTOEV-legacy-BMrsEIIF.js
legacy	0.53 KiB	chunk-UY3FDG6J-legacy-wEfb5AGY.js
modern	0.49 KiB	chunk-ICYGCRZG-DZ2ZeNDb.js
legacy	0.47 KiB	chunk-CLGD4ZFX-legacy-CKGcE2bV.js
modern	0.45 KiB	chunk-6TQVIW2G-D-8d626G.js
modern	0.45 KiB	chunk-KI3K4JFJ-CfufDKd6.js
modern	0.45 KiB	chunk-5V3GS4D5-CdbGprFW.js
modern	0.45 KiB	chunk-I5DQTOEV-BKRodeBT.js
modern	0.45 KiB	chunk-UY3FDG6J-qJcstvke.js
legacy	0.44 KiB	chunk-5VM5RSS4-legacy-C5u4-iKV.js
legacy	0.41 KiB	chunk-JWPE2WC7-legacy-CdmZDs_G.js
legacy	0.39 KiB	abortUtils-legacy-Dvd--i-Y.js
modern	0.35 KiB	chunk-5VM5RSS4-BIuUOXY3.js
legacy	0.33 KiB	chunk-XXDRQBXY-legacy-Cn9x3RtD.js
modern	0.31 KiB	chunk-CLGD4ZFX-Be7A60yx.js
modern	0.30 KiB	abortUtils-BTCm2SVl.js
legacy	0.26 KiB	chunk-2Q5K7J3B-legacy-DJEXzvxM.js
