Bundle report (raw filesystem bytes; sorted by size descending, then filename)
Assets directory: dist/assets

Entrypoints
- modern: index-Cpvw5u4Y.js = 2398.64 KiB
- legacy: index-legacy-BsslAApy.js = 2762.40 KiB

JavaScript chunks
target	size	file
legacy	1.07 KiB	classDiagram-v2-JRS7N3AN-legacy-z-hM6h6r.js
modern	1.03 KiB	chunk-747NJXEK-ClI9UDaO.js
legacy	1.03 KiB	line-legacy-rDDBojw8.js
modern	1.02 KiB	chunk-OUJLGHUK-C48mUwOv.js
legacy	1.01 KiB	chunk-IH6LHLGP-legacy-Dqn5s3qo.js
legacy	0.96 KiB	chunk-6AZGARVD-legacy-D3iIx8V5.js
modern	0.92 KiB	line-CbJwMgqk.js
legacy	0.90 KiB	flowDiagram-A5DVABFB-legacy-XKEF3YiS.js
legacy	0.90 KiB	chunk-XHIXRSVI-legacy-CbwhFWxb.js
modern	0.90 KiB	chunk-IH6LHLGP-Chj1cs7Z.js
modern	0.88 KiB	sizeCapture-X5ZJPWSS-B0tP74iO.js
modern	0.88 KiB	chunk-6AZGARVD-C9MPggnN.js
modern	0.85 KiB	swimlanesDiagram-VK2B7HYN-DVcc4hqW.js
modern	0.81 KiB	chunk-XHIXRSVI-B5DDVyJ5.js
modern	0.77 KiB	stateDiagram-v2-4QOOHH4V-jd1LGLbq.js
modern	0.77 KiB	classDiagram-DTDB5LWJ-Ds70uFdl.js
modern	0.77 KiB	classDiagram-v2-JRS7N3AN-CPho-FpD.js
legacy	0.75 KiB	infoDiagram-RXCK75RN-legacy-BgxjsP8f.js
legacy	0.75 KiB	rolldown-runtime-legacy-ndya8PFD.js
legacy	0.70 KiB	chunk-POPQ4Y6H-legacy-DAOOk1TN.js
modern	0.68 KiB	rolldown-runtime-S-ySWqyJ.js
legacy	0.67 KiB	chunk-3Z5EZCMW-legacy-U8cllXQL.js
modern	0.64 KiB	infoDiagram-RXCK75RN-Dpi6tRN-.js
modern	0.60 KiB	flowDiagram-A5DVABFB-DukBoTIv.js
modern	0.58 KiB	chunk-3Z5EZCMW-DLDgItML.js
modern	0.56 KiB	chunk-POPQ4Y6H-ZnVb59cX.js
legacy	0.55 KiB	chunk-ICYGCRZG-legacy-zH3jUi_t.js
legacy	0.54 KiB	chunk-6TQVIW2G-legacy-DojpzL2H.js
legacy	0.54 KiB	chunk-KI3K4JFJ-legacy-D2yQzSDL.js
legacy	0.53 KiB	chunk-5V3GS4D5-legacy-0pdg02Cf.js
legacy	0.53 KiB	chunk-I5DQTOEV-legacy-BAMxTGg5.js
legacy	0.53 KiB	chunk-UY3FDG6J-legacy-BRfH0uVU.js
modern	0.49 KiB	chunk-ICYGCRZG-BhQnoVpn.js
legacy	0.47 KiB	chunk-CLGD4ZFX-legacy-kavO8xnh.js
modern	0.45 KiB	chunk-6TQVIW2G-DvsRVlQ2.js
modern	0.45 KiB	chunk-KI3K4JFJ-DZ_wvuQj.js
modern	0.45 KiB	chunk-5V3GS4D5-BFOEOU3Q.js
modern	0.45 KiB	chunk-I5DQTOEV-f14NYH9z.js
modern	0.45 KiB	chunk-UY3FDG6J-CsfqXHL7.js
legacy	0.44 KiB	chunk-5VM5RSS4-legacy-CvK0T389.js
legacy	0.41 KiB	chunk-JWPE2WC7-legacy-haXmeIQt.js
modern	0.35 KiB	chunk-5VM5RSS4-CFgnRW1C.js
legacy	0.33 KiB	chunk-XXDRQBXY-legacy-uPLgLT6G.js
modern	0.31 KiB	chunk-CLGD4ZFX-DN_EQ_ST.js
legacy	0.26 KiB	chunk-2Q5K7J3B-legacy-C1X2HIC_.js
modern	0.26 KiB	chunk-XXDRQBXY-BhizgLJi.js
legacy	0.22 KiB	eventmodeling-NTZA5JFV-legacy-C4uil3rq.js
legacy	0.22 KiB	architecture-7GRP2DOG-legacy-XMsuaHvY.js
legacy	0.22 KiB	railroad-abnf-HS5TGJTU-legacy-Cfv7bTna.js
legacy	0.22 KiB	railroad-ebnf-LZEXJU2U-legacy-D2b1A-Y0.js
legacy	0.22 KiB	railroad-peg-WCYAUIDC-legacy-CRzn8i_w.js
modern	0.22 KiB	chunk-JWPE2WC7-D8misks7.js
legacy	0.22 KiB	gitGraph-4MIJSDKK-legacy-CejxDB28.js
legacy	0.22 KiB	railroad-74A4TZTK-legacy-B2lZkf9m.js
legacy	0.22 KiB	treeView-Q6P3EWNA-legacy-D7I1JX5i.js
legacy	0.21 KiB	cynefin-OW5HDTMX-legacy-BUNGNrCs.js
legacy	0.21 KiB	treemap-WGGIJYW6-legacy-B6J7YM4w.js
legacy	0.21 KiB	wardley-WFR3VGLG-legacy-hCyKWDck.js
legacy	0.21 KiB	chunk-Y2CYZVJY-legacy-C5beXBjd.js
legacy	0.21 KiB	packet-AYTQ26CC-legacy-D-34TxsC.js
legacy	0.21 KiB	radar-RG4KPBEZ-legacy-BtXh-jnX.js
legacy	0.21 KiB	info-A6RAGUB7-legacy-98A44e_P.js
legacy	0.21 KiB	pie-WAS4IAKB-legacy-DNJ7BMoL.js
legacy	0.20 KiB	init-legacy-zIClHN1N.js
modern	0.19 KiB	chunk-2Q5K7J3B-eX_VdL9s.js
legacy	0.18 KiB	channel-legacy-C5OFrLet.js
legacy	0.17 KiB	array-legacy--6mrhh96.js
modern	0.15 KiB	chunk-Y2CYZVJY-BYi0W5ea.js
modern	0.14 KiB	init-8_PCa3LO.js
modern	0.12 KiB	eventmodeling-NTZA5JFV-CUQ0IZ8c.js
modern	0.12 KiB	architecture-7GRP2DOG-BOnSxpct.js
modern	0.12 KiB	railroad-abnf-HS5TGJTU-CfLXN1Ez.js
modern	0.12 KiB	railroad-ebnf-LZEXJU2U-FqTSF_dM.js
modern	0.12 KiB	railroad-peg-WCYAUIDC-DRJQ0rn0.js
modern	0.12 KiB	gitGraph-4MIJSDKK-CRxKCaof.js
modern	0.12 KiB	railroad-74A4TZTK-1IxXXV7b.js
modern	0.12 KiB	treeView-Q6P3EWNA-CVknYm4B.js
modern	0.12 KiB	cynefin-OW5HDTMX-oIm1IbS0.js
modern	0.12 KiB	treemap-WGGIJYW6-XGpRQvc-.js
modern	0.12 KiB	wardley-WFR3VGLG-B33RrwCe.js
modern	0.12 KiB	packet-AYTQ26CC-BUFTcmLE.js
modern	0.12 KiB	radar-RG4KPBEZ-Dl_rEHWj.js
modern	0.12 KiB	info-A6RAGUB7-BrMlRx4i.js
modern	0.11 KiB	pie-WAS4IAKB-BEOreEDO.js
modern	0.11 KiB	channel-DpPXjQpy.js
modern	0.10 KiB	array-BTwzYU0x.js

Largest load units (chunk-level dependency/module proxy)
rank	target	size	file
1	legacy	2762.40 KiB	index-legacy-BsslAApy.js
2	modern	2398.64 KiB	index-Cpvw5u4Y.js
3	legacy	705.01 KiB	chunk-FOHPRMQF-legacy-BY5wONlH.js
4	modern	648.37 KiB	chunk-FOHPRMQF-uXoJAdyA.js
5	modern	425.63 KiB	cytoscape.esm-DqYS2jhl.js
6	legacy	424.66 KiB	cytoscape.esm-legacy-oVvCIb9x.js
7	legacy	257.83 KiB	katex-legacy-BxR_6MIC.js
8	modern	253.22 KiB	katex-DvTry3m9.js
9	legacy	245.96 KiB	chunk-DU6HZSFF-legacy-KtfYClOJ.js
10	modern	230.30 KiB	chunk-DU6HZSFF-4trzn5to.js
11	legacy	146.37 KiB	architectureDiagram-5GKGNRK7-legacy-BAhEExdO.js
12	modern	145.86 KiB	architectureDiagram-5GKGNRK7-D-KYb5EO.js
